,loss,accuracy,val_loss,val_accuracy
0,0.6939084529876709,0.5080422759056091,0.6930874586105347,0.5068109035491943
1,0.6934788823127747,0.4932215213775635,0.6930903792381287,0.5060096383094788
2,0.6934515237808228,0.4900219142436981,0.6934285759925842,0.49358972907066345
3,0.6932240724563599,0.5042509436607361,0.6910409927368164,0.5200320482254028
4,0.6889647245407104,0.5595800876617432,0.6816387176513672,0.5757211446762085
5,0.6802510023117065,0.5791590213775635,0.6770729422569275,0.5564903616905212
6,0.6673042178153992,0.5948783159255981,0.6441853642463684,0.620192289352417
7,0.6598013043403625,0.6144301295280457,0.6492754817008972,0.6262019276618958
8,0.634497344493866,0.6338465213775635,0.6019777059555054,0.6662660241127014
9,0.5959389805793762,0.6854308247566223,0.5546171069145203,0.7215544581413269
10,0.574594259262085,0.6962741017341614,0.5453031063079834,0.7231570482254028
11,0.5579574704170227,0.7177159786224365,0.5281313061714172,0.7439903616905212
12,0.5497973561286926,0.7234975099563599,0.5198042988777161,0.7463942170143127
13,0.529928982257843,0.7329565286636353,0.4828032851219177,0.7680288553237915
14,0.5147759914398193,0.7538354992866516,0.4947085380554199,0.7532051205635071
15,0.49174079298973083,0.7664090394973755,0.4784677028656006,0.7532051205635071
16,0.47248807549476624,0.773552417755127,0.41397154331207275,0.8040865659713745
17,0.47135430574417114,0.7801011204719543,0.39919543266296387,0.838942289352417
18,0.44151461124420166,0.797785222530365,0.38513055443763733,0.8269230723381042
19,0.4316881000995636,0.8019379377365112,0.3779374957084656,0.8209134340286255
20,0.39418327808380127,0.8214327096939087,0.3387314975261688,0.8521634340286255
21,0.3805241286754608,0.825239360332489,0.3290238678455353,0.8589743375778198
22,0.3725890815258026,0.8314684629440308,0.3047272861003876,0.8653846383094788
23,0.3618236780166626,0.8390817642211914,0.34752270579338074,0.8561698794364929
24,0.3341017961502075,0.8525781631469727,0.29259082674980164,0.8677884340286255
25,0.3206270933151245,0.8618064522743225,0.2653816044330597,0.8870192170143127
26,0.32020464539527893,0.8600643277168274,0.26817914843559265,0.8946313858032227
27,0.30907583236694336,0.8676894903182983,0.29567259550094604,0.8794070482254028
28,0.305298388004303,0.8652670383453369,0.24000167846679688,0.8994390964508057
29,0.2967216968536377,0.8751874566078186,0.2336476594209671,0.9010416865348816
30,0.2794162631034851,0.880974292755127,0.21287228167057037,0.9074519276618958
31,0.2829703986644745,0.8777252435684204,0.23010490834712982,0.9050480723381042
32,0.2765580117702484,0.8816636204719543,0.2371583878993988,0.8922275900840759
33,0.26107171177864075,0.8918887972831726,0.2340371012687683,0.9070512652397156
34,0.2503982484340668,0.8974506855010986,0.25992780923843384,0.8874198794364929
35,0.25165292620658875,0.8951436281204224,0.2115386575460434,0.9154647588729858
36,0.24055589735507965,0.8977481722831726,0.2009875774383545,0.9198718070983887
37,0.241747185587883,0.9018341302871704,0.17757193744182587,0.9310897588729858
38,0.2360960841178894,0.9019494652748108,0.23773831129074097,0.8930288553237915
39,0.22454160451889038,0.9047179818153381,0.2817365527153015,0.8982371687889099
40,0.2306496649980545,0.9010266661643982,0.3160114586353302,0.8966346383094788
41,0.22893117368221283,0.9074864387512207,0.21311055123806,0.9082531929016113
42,0.22191280126571655,0.9076286554336548,0.17557238042354584,0.9334936141967773
43,0.21572376787662506,0.9111777544021606,0.16452887654304504,0.9290865659713745
44,0.2174421101808548,0.9099264740943909,0.17460772395133972,0.9334936141967773
45,0.21269483864307404,0.9146369695663452,0.23479853570461273,0.9118589758872986
46,0.20871753990650177,0.9163686633110046,0.18429279327392578,0.9350961446762085
47,0.1990504264831543,0.926865816116333,0.15628783404827118,0.9415063858032227
48,0.19268225133419037,0.9213005304336548,0.19950571656227112,0.9274839758872986
49,0.18669253587722778,0.923520565032959,0.14901728928089142,0.9411057829856873
50,0.19465041160583496,0.9195771813392639,0.15990589559078217,0.9362980723381042
51,0.19349513947963715,0.9228284955024719,0.1568383127450943,0.9358974099159241
52,0.18336191773414612,0.925896167755127,0.15175843238830566,0.9379006624221802
